#streetID congestion_degree
22886081 0.0
23328109 0.0
24167481 0.0
24167876 0.0
107254172 0.0
191643764 0.0010980275681335225
232183088 0.0
4951467 :
108533169 0.0
159523795 0.0
192085431 0.0
4951497 :
4951498 0.0011968384345143232
22955642 0.0
124908286 0.0
196782718 0.0
4951498 :
124908286 0.0
203960287 0.0012287277051249734
5135447 :
123722199 0.0
5190200 :
32848055 0.0
127417654 0.0
164681852 0.0
5333798 :
32764943 0.0
193232775 0.0
193232785 0.0
6171077 :
22885682 0.0
122109237 0.0
122109238 0.0
232183099 0.0
232183100 0.0
8041791 :
96898383 0.0
164767984 0.0
170861217 0.0
8042900 :
26194833 0.0
128175875 0.0
8042901 :
48053165 0.0
60350952 0.0
8042904 :
22747439 0.0
55973906 0.0
8042907 :
48520556 0.0
48520559 0.0
48565621 0.0
64935233 0.0
8042995 :
51080776 0.0
96054917 0.0
8043172 :
8043281 0.0
27632244 0.0
60779745 0.0
8043195 :
48024563 0.0
48024565 0.0
8043202 :
28059791 0.0
60740061 0.0
180552559 0.0
8043279 :
22989330 0.0
27856650 0.0
96849345 0.32474825644693894
8043280 :
23780657 0.0
24568063 0.0
140943597 0.0
204900842 0.0
8043281 :
8043172 0.0
27632244 0.0
27632524 0.0
47999262 0.0
48522149 0.0
184508815 0.0
8043285 :
22274746 0.0
38930840 0.0
107478284 0.0
8043286 :
8043335 0.0
13869403 0.0
102151241 0.0
124643415 0.0
8043326 :
13866264 0.0
27310135 0.0
27310171 0.0
48520555 0.0
106287232 0.0
8043335 :
13869403 0.0
38930840 0.0
102151222 0.0
102151226 0.0
8043360 :
26646305 0.0
26663846 0.0
27347079 0.0
48523373 0.0
133738032 0.0
133738039 0.0
8043386 :
8043388 0.0
8043387 :
8043386 0.0
45260878 0.0
8043388 :
239517342 0.0
246730475 0.0
8043396 :
8043387 0.0
23032238 0.0
23032239 0.0
77203800 0.0
77203813 0.0
77203817 0.0
107478279 0.0
239517342 0.0
8043398 :
